CITY,28/11/2015,5/12/2015,12/12/2015,19/12/2015,26/12/2015,2/1/2016,9/1/2016,16/1/2016,23/1/2016,30/1/2016,6/2/2016,13/2/2016,20/2/2016,27/2/2016,5/3/2016,12/3/2016,19/3/2016,26/3/2016,2/4/2016,9/4/2016,16/4/2016,23/4/2016,30/4/2016,7/5/2016,14/5/2016,21/5/2016,28/5/2016,4/6/2016,11/6/2016,18/6/2016,25/6/2016,2/7/2016,9/7/2016,16/7/2016,23/7/2016,30/7/2016,6/8/2016,13/8/2016,20/8/2016,27/8/2016,3/9/2016,10/9/2016,17/9/2016,24/9/2016,1/10/2016,8/10/2016,15/10/2016,22/10/2016,29/10/2016,5/11/2016,12/11/2016,19/11/2016,26/11/2016,3/12/2016,10/12/2016,17/12/2016,24/12/2016,31/12/2016,7/1/2017,14/1/2017,21/1/2017,28/1/2017,4/2/2017,11/2/2017,18/2/2017,25/2/2017,4/3/2017,11/3/2017,18/3/2017,25/3/2017,1/4/2017,8/4/2017,15/4/2017,22/4/2017,29/4/2017,6/5/2017,13/5/2017,20/5/2017,27/5/2017,3/6/2017,10/6/2017,17/6/2017,24/6/2017,1/7/2017,8/7/2017,15/7/2017,22/7/2017,29/7/2017,5/8/2017,12/8/2017,19/8/2017,26/8/2017,2/9/2017,9/9/2017,16/9/2017,23/9/2017,30/9/2017,7/10/2017,14/10/2017,21/10/2017,28/10/2017,4/11/2017,11/11/2017,18/11/2017,25/11/2017,2/12/2017,9/12/2017,16/12/2017,23/12/2017,30/12/2017,6/1/2018,13/1/2018,20/1/2018,27/1/2018,3/2/2018,10/2/2018,17/2/2018,24/2/2018,3/3/2018,10/3/2018,17/3/2018,24/3/2018
Aguascalientes,24,0,0,0,0,0,0,0,49,56,31,45,33,8,8,15,27,0,10,11,24,21,8,0,18,7,41,0,17,5,0,4,0,4,0,0,11,9,3,3,0,6,18,0,3,11,0,0,5,0,0,0,19,0,0,0,0,26,0,0,0,0,0,0,44,0,0,68,0,0,0,0,0,37,20,22,0,0,0,0,19,0,0,21,0,0,13,0,0,16,8,15,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,43
Baja California,0,10,0,0,0,0,0,27,24,44,22,37,20,13,16,27,8,21,16,23,30,16,12,6,11,13,9,5,5,8,1,3,1,3,1,2,3,2,9,3,6,2,2,2,2,2,4,2,1,6,6,3,5,0,0,5,0,0,4,0,0,0,16,0,6,0,7,10,16,21,8,0,20,0,0,6,0,0,18,4,0,7,5,0,17,6,0,0,7,10,5,0,9,5,5,8,0,3,3,1,0,2,3,0,0,10,0,0,5,0,0,29,0,0,7,25,0,0,13,0,0,13
Baja California Sur,0,0,0,0,0,0,0,49,75,95,21,25,7,13,33,36,69,100,0,0,37,60,0,22,10,0,10,20,10,18,0,6,16,19,6,0,16,7,22,5,0,10,18,0,21,31,9,11,31,9,12,54,30,20,0,27,37,79,0,59,66,0,0,0,100,0,0,0,0,0,0,65,0,0,62,34,0,0,50,25,0,38,51,34,31,0,0,26,0,0,0,0,58,15,15,0,0,7,0,8,0,4,0,0,26,0,28,100,25,50,0,0,0,100,35,46,0,80,0,0,0,69
Campeche,58,0,0,0,0,0,0,0,26,36,29,15,36,8,33,32,0,36,0,100,78,42,16,16,40,51,14,14,0,0,29,17,15,26,44,100,61,88,68,61,100,100,67,58,17,48,12,53,23,12,32,50,0,0,25,39,29,59,31,0,86,72,59,0,0,80,0,0,0,0,18,0,77,0,43,0,0,100,64,31,0,48,100,0,0,47,0,35,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,16,0,0,0,0,37,0,0,0,0,0,0,0,100,86,43,0,0
Chiapas,100,100,100,100,100,100,100,98,57,67,55,94,43,37,63,81,74,77,83,69,100,100,100,100,100,100,100,100,100,100,67,57,52,68,51,77,38,25,17,14,5,17,26,8,19,16,9,3,0,12,0,24,19,0,0,0,10,39,10,26,14,24,39,36,29,71,64,46,0,16,18,33,0,22,0,15,21,93,20,22,0,17,12,15,0,0,20,12,0,0,0,10,34,7,13,9,10,3,4,0,4,0,2,3,6,44,0,0,0,13,15,23,0,0,0,39,26,0,60,15,68,100
Chihuahua,0,14,0,0,0,6,0,8,35,43,34,31,14,7,23,24,23,19,36,37,14,8,15,6,7,6,13,5,5,0,2,2,4,3,3,5,11,4,3,8,10,6,9,2,1,1,4,0,0,2,0,0,8,10,0,0,0,0,6,0,0,0,0,11,0,28,10,14,0,9,3,18,0,26,8,9,0,0,12,6,0,48,7,9,8,0,0,7,19,0,0,0,0,0,4,0,6,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,21,36,0,0,0
Coahuila,6,18,0,16,0,0,0,29,32,50,16,34,26,19,25,29,28,52,16,11,23,36,10,3,11,7,6,3,3,12,2,4,5,6,8,3,5,6,5,6,1,7,0,2,1,5,3,5,0,0,4,11,4,12,12,9,0,0,0,9,10,0,14,27,0,0,11,0,14,12,0,0,0,16,10,22,15,0,0,0,0,0,8,11,10,0,0,0,12,0,0,22,65,34,34,54,67,33,11,21,8,8,9,8,0,16,4,0,0,0,22,0,29,0,0,0,0,0,0,11,0,44
Colima,0,0,0,0,0,41,0,30,84,54,36,66,49,76,100,100,81,0,31,61,31,0,0,19,16,0,18,36,17,31,12,11,19,0,0,0,14,45,18,51,84,86,87,100,100,87,100,27,84,30,18,30,46,64,0,100,35,0,0,100,54,91,0,71,0,0,60,0,0,0,64,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,85,0,0,36,0,0,8,0,14,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,50,0,0
Durango,0,0,0,0,0,0,0,33,35,64,25,16,37,13,40,40,48,34,73,13,26,44,25,0,0,0,14,0,14,7,0,0,0,0,0,8,0,10,12,0,9,4,0,11,9,5,3,0,12,0,0,0,11,0,0,0,0,34,0,0,26,0,0,0,27,0,0,0,0,0,10,0,46,0,0,0,0,0,0,0,0,31,21,0,0,0,0,0,0,0,11,0,0,0,0,0,0,5,0,6,0,0,0,0,10,0,0,0,0,42,0,0,0,0,27,0,0,0,0,0,0,0
Guanajuato,16,11,4,10,0,0,0,22,29,42,21,21,17,18,17,22,17,23,20,37,14,34,6,8,7,8,8,6,9,5,3,4,2,1,3,5,6,4,4,8,5,3,9,1,1,4,2,1,6,3,0,3,3,4,7,11,0,8,4,0,6,10,17,0,13,10,0,0,0,7,5,0,10,0,0,0,0,0,0,0,6,14,0,6,0,0,4,5,7,5,7,18,29,11,8,20,9,4,2,6,0,2,1,1,5,10,0,10,0,0,7,10,0,0,7,0,0,8,0,13,19,0
