Date,Searches,WeekNumber,Cases
04/01/2016,20,1,95
11/01/2016,41,2,95
18/01/2016,48,3,95
25/01/2016,72,4,98
01/02/2016,71,5,306
08/02/2016,54,6,306
15/02/2016,80,7,306
22/02/2016,58,8,371
29/02/2016,92,9,371
07/03/2016,68,10,371
14/03/2016,88,11,250
21/03/2016,84,12,251
28/03/2016,62,13,143
04/04/2016,52,14,143
11/04/2016,40,15,144
18/04/2016,51,16,64
25/04/2016,37,17,64
02/05/2016,42,18,64
09/05/2016,39,19,67
16/05/2016,60,20,67
23/05/2016,39,21,67
30/05/2016,31,22,67
06/06/2016,28,23,67
13/06/2016,29,24,67
20/06/2016,34,25,69
27/06/2016,26,26,32
04/07/2016,31,27,32
11/07/2016,19,28,32
18/07/2016,46,29,32
25/07/2016,50,30,32
01/08/2016,49,31,33
08/08/2016,40,32,39
15/08/2016,12,33,80
22/08/2016,19,34,18
29/08/2016,16,35,19
05/09/2016,53,36,13
12/09/2016,26,37,13
19/09/2016,21,38,13
26/09/2016,7,39,1
03/10/2016,8,40,13
10/10/2016,17,41,14
17/10/2016,36,42,10
24/10/2016,74,43,10
31/10/2016,55,44,8
07/11/2016,4,45,8
14/11/2016,46,46,4
21/11/2016,21,47,5
28/11/2016,13,48,8
05/12/2016,29,49,96
12/12/2016,45,50,29
19/12/2016,40,51,55
26/12/2016,74,52,7
02/01/2017,35,1,1
09/01/2017,100,2,1
16/01/2017,57,3,1
23/01/2017,59,4,2
30/01/2017,57,5,29
06/02/2017,46,6,29
13/02/2017,41,7,31
20/02/2017,100,8,78
27/02/2017,59,9,78
06/03/2017,37,10,80
13/03/2017,27,11,36
20/03/2017,16,12,36
27/03/2017,8,13,47
03/04/2017,37,14,47
10/04/2017,44,15,47
17/04/2017,31,16,6
24/04/2017,18,17,6
01/05/2017,14,18,6
08/05/2017,9,19,6
15/05/2017,21,20,13
22/05/2017,38,21,13
29/05/2017,32,22,13
05/06/2017,19,23,13
12/06/2017,3,24,13
19/06/2017,0,25,18
26/06/2017,17,26,0
03/07/2017,44,27,0
10/07/2017,45,28,0
17/07/2017,67,29,0
24/07/2017,6,30,0
31/07/2017,5,31,0
07/08/2017,11,32,0
14/08/2017,25,33,0
21/08/2017,5,34,0
28/08/2017,25,35,0
04/09/2017,12,36,-1
11/09/2017,51,37,-1
18/09/2017,16,38,-1
25/09/2017,59,39,1
02/10/2017,8,40,6
09/10/2017,22,41,6
16/10/2017,11,42,-33
23/10/2017,18,43,-33
30/10/2017,17,44,0
06/11/2017,53,45,0
13/11/2017,26,46,-23
20/11/2017,11,47,0
27/11/2017,26,48,0
04/12/2017,0,49,124
11/12/2017,24,50,-7
18/12/2017,26,51,0
25/12/2017,33,52,0
