Date,Searches,WeekNumber,Cases
04/01/2016,21,1,54
11/01/2016,29,2,54
18/01/2016,35,3,54
25/01/2016,60,4,55
01/02/2016,53,5,257
08/02/2016,56,6,257
15/02/2016,55,7,258
22/02/2016,61,8,677
29/02/2016,70,9,677
07/03/2016,61,10,678
14/03/2016,66,11,798
21/03/2016,86,12,799
28/03/2016,53,13,769
04/04/2016,55,14,769
11/04/2016,43,15,769
18/04/2016,51,16,478
25/04/2016,25,17,478
02/05/2016,28,18,478
09/05/2016,29,19,478
16/05/2016,49,20,180
23/05/2016,20,21,180
30/05/2016,27,22,180
06/06/2016,31,23,180
13/06/2016,30,24,180
20/06/2016,40,25,185
27/06/2016,30,26,-28
04/07/2016,29,27,-28
11/07/2016,21,28,-28
18/07/2016,33,29,-28
25/07/2016,24,30,-28
01/08/2016,38,31,-27
08/08/2016,11,32,138
15/08/2016,24,33,276
22/08/2016,12,34,13
29/08/2016,17,35,13
05/09/2016,32,36,10
12/09/2016,41,37,10
19/09/2016,23,38,10
26/09/2016,15,39,2
03/10/2016,12,40,8
10/10/2016,6,41,9
17/10/2016,35,42,18
24/10/2016,64,43,18
31/10/2016,16,44,19
07/11/2016,20,45,19
14/11/2016,73,46,8
21/11/2016,46,47,20
28/11/2016,23,48,33
05/12/2016,15,49,21
12/12/2016,30,50,27
19/12/2016,17,51,27
26/12/2016,33,52,23
02/01/2017,14,1,11
09/01/2017,17,2,11
16/01/2017,15,3,11
23/01/2017,41,4,12
30/01/2017,60,5,56
06/02/2017,96,6,56
13/02/2017,74,7,56
20/02/2017,28,8,180
27/02/2017,46,9,180
06/03/2017,29,10,181
13/03/2017,10,11,33
20/03/2017,23,12,34
27/03/2017,17,13,240
03/04/2017,30,14,240
10/04/2017,12,15,241
17/04/2017,11,16,44
24/04/2017,37,17,44
01/05/2017,33,18,44
08/05/2017,15,19,44
15/05/2017,31,20,189
22/05/2017,28,21,189
29/05/2017,41,22,189
05/06/2017,25,23,189
12/06/2017,6,24,189
19/06/2017,16,25,191
26/06/2017,14,26,104
03/07/2017,25,27,104
10/07/2017,12,28,104
17/07/2017,36,29,104
24/07/2017,2,30,104
31/07/2017,9,31,108
07/08/2017,6,32,9
14/08/2017,24,33,18
21/08/2017,8,34,28
28/08/2017,24,35,29
04/09/2017,9,36,48
11/09/2017,51,37,48
18/09/2017,19,38,48
25/09/2017,33,39,2
02/10/2017,14,40,4
09/10/2017,12,41,4
16/10/2017,45,42,7
23/10/2017,35,43,7
30/10/2017,38,44,4
06/11/2017,45,45,4
13/11/2017,25,46,4
20/11/2017,30,47,-18
27/11/2017,14,48,55
04/12/2017,30,49,5
11/12/2017,24,50,2
18/12/2017,30,51,54
25/12/2017,18,52,23
