Date,Searches,WeekNumber,Cases
04/01/2016,20,1,1421
11/01/2016,28,2,1421
18/01/2016,22,3,1421
25/01/2016,40,4,1424
01/02/2016,45,5,3955
08/02/2016,37,6,3955
15/02/2016,63,7,3955
22/02/2016,71,8,5152
29/02/2016,79,9,5152
07/03/2016,84,10,5153
14/03/2016,71,11,2997
21/03/2016,88,12,2997
28/03/2016,65,13,1881
04/04/2016,74,14,1881
11/04/2016,54,15,1881
18/04/2016,61,16,731
25/04/2016,42,17,731
02/05/2016,35,18,731
09/05/2016,35,19,733
16/05/2016,74,20,206
23/05/2016,38,21,206
30/05/2016,46,22,206
06/06/2016,29,23,206
13/06/2016,27,24,206
20/06/2016,22,25,211
27/06/2016,32,26,145
04/07/2016,43,27,145
11/07/2016,44,28,145
18/07/2016,50,29,145
25/07/2016,42,30,145
01/08/2016,54,31,147
08/08/2016,29,32,3
15/08/2016,43,33,7
22/08/2016,21,34,67
29/08/2016,26,35,67
05/09/2016,45,36,65
12/09/2016,79,37,65
19/09/2016,40,38,65
26/09/2016,30,39,1
03/10/2016,28,40,69
10/10/2016,31,41,69
17/10/2016,76,42,136
24/10/2016,81,43,137
31/10/2016,32,44,96
07/11/2016,25,45,97
14/11/2016,45,46,91
21/11/2016,25,47,99
28/11/2016,43,48,124
05/12/2016,15,49,94
12/12/2016,26,50,82
19/12/2016,32,51,68
26/12/2016,35,52,29
02/01/2017,24,1,14
09/01/2017,21,2,14
16/01/2017,13,3,14
23/01/2017,21,4,16
30/01/2017,31,5,89
06/02/2017,55,6,89
13/02/2017,53,7,89
20/02/2017,34,8,66
27/02/2017,30,9,66
06/03/2017,15,10,66
13/03/2017,5,11,77
20/03/2017,18,12,78
27/03/2017,15,13,108
03/04/2017,18,14,108
10/04/2017,15,15,109
17/04/2017,14,16,27
24/04/2017,23,17,27
01/05/2017,19,18,27
08/05/2017,11,19,27
15/05/2017,21,20,41
22/05/2017,12,21,41
29/05/2017,28,22,41
05/06/2017,19,23,41
12/06/2017,4,24,41
19/06/2017,20,25,46
26/06/2017,26,26,34
03/07/2017,8,27,34
10/07/2017,31,28,34
17/07/2017,50,29,34
24/07/2017,16,30,34
31/07/2017,13,31,34
07/08/2017,67,32,86
14/08/2017,11,33,172
21/08/2017,13,34,22
28/08/2017,28,35,22
04/09/2017,11,36,50
11/09/2017,17,37,50
18/09/2017,8,38,50
25/09/2017,20,39,2
02/10/2017,27,40,2
09/10/2017,22,41,2
16/10/2017,23,42,20
23/10/2017,22,43,21
30/10/2017,42,44,9
06/11/2017,45,45,9
13/11/2017,33,46,1
20/11/2017,25,47,24
27/11/2017,26,48,19
04/12/2017,30,49,30
11/12/2017,9,50,1
18/12/2017,30,51,3
25/12/2017,28,52,56
