Date,Searches,WeekNumber,Cases
04/01/2016,22,1,24
11/01/2016,40,2,24
18/01/2016,27,3,24
25/01/2016,29,4,25
01/02/2016,34,5,110
08/02/2016,27,6,110
15/02/2016,51,7,112
22/02/2016,42,8,348
29/02/2016,64,9,348
07/03/2016,89,10,350
14/03/2016,62,11,360
21/03/2016,97,12,360
28/03/2016,100,13,377
04/04/2016,100,14,377
11/04/2016,100,15,379
18/04/2016,66,16,329
25/04/2016,88,17,329
02/05/2016,69,18,329
09/05/2016,100,19,329
16/05/2016,87,20,233
23/05/2016,100,21,233
30/05/2016,100,22,233
06/06/2016,100,23,233
13/06/2016,79,24,233
20/06/2016,100,25,238
27/06/2016,89,26,48
04/07/2016,75,27,48
11/07/2016,92,28,48
18/07/2016,93,29,48
25/07/2016,58,30,48
01/08/2016,70,31,48
08/08/2016,100,32,114
15/08/2016,68,33,230
22/08/2016,31,34,19
29/08/2016,27,35,19
05/09/2016,28,36,9
12/09/2016,45,37,9
19/09/2016,55,38,9
26/09/2016,100,39,0
03/10/2016,24,40,10
10/10/2016,37,41,11
17/10/2016,30,42,13
24/10/2016,62,43,13
31/10/2016,14,44,3
07/11/2016,35,45,4
14/11/2016,38,46,2
21/11/2016,100,47,8
28/11/2016,59,48,5
05/12/2016,49,49,5
12/12/2016,35,50,7
19/12/2016,13,51,1
26/12/2016,0,52,1
02/01/2017,16,1,2
09/01/2017,50,2,2
16/01/2017,9,3,2
23/01/2017,20,4,2
30/01/2017,41,5,1
06/02/2017,79,6,1
13/02/2017,69,7,1
20/02/2017,21,8,3
27/02/2017,55,9,3
06/03/2017,0,10,4
13/03/2017,0,11,7
20/03/2017,11,12,8
27/03/2017,14,13,7
03/04/2017,35,14,7
10/04/2017,25,15,8
17/04/2017,16,16,4
24/04/2017,37,17,4
01/05/2017,12,18,4
08/05/2017,14,19,7
15/05/2017,7,20,4
22/05/2017,14,21,4
29/05/2017,11,22,4
05/06/2017,17,23,4
12/06/2017,8,24,4
19/06/2017,0,25,9
26/06/2017,42,26,6
03/07/2017,42,27,6
10/07/2017,18,28,6
17/07/2017,25,29,6
24/07/2017,9,30,6
31/07/2017,9,31,7
07/08/2017,72,32,2
14/08/2017,57,33,4
21/08/2017,24,34,4
28/08/2017,0,35,5
04/09/2017,28,36,1
11/09/2017,66,37,1
18/09/2017,41,38,1
25/09/2017,100,39,2
02/10/2017,0,40,9
09/10/2017,37,41,10
16/10/2017,77,42,5
23/10/2017,0,43,5
30/10/2017,56,44,4
06/11/2017,45,45,4
13/11/2017,11,46,2
20/11/2017,37,47,4
27/11/2017,15,48,6
04/12/2017,19,49,6
11/12/2017,14,50,21
18/12/2017,0,51,6
25/12/2017,76,52,4
