Date,Searches,WeekNumber,Cases
04/01/2016,16,1,175
11/01/2016,23,2,175
18/01/2016,36,3,175
25/01/2016,53,4,177
01/02/2016,66,5,949
08/02/2016,43,6,949
15/02/2016,68,7,951
22/02/2016,67,8,1607
29/02/2016,76,9,1607
07/03/2016,82,10,1607
14/03/2016,74,11,1018
21/03/2016,75,12,1019
28/03/2016,51,13,640
04/04/2016,57,14,640
11/04/2016,51,15,642
18/04/2016,45,16,337
25/04/2016,37,17,337
02/05/2016,33,18,337
09/05/2016,26,19,339
16/05/2016,46,20,-3
23/05/2016,22,21,-3
30/05/2016,27,22,-3
06/06/2016,19,23,-3
13/06/2016,21,24,-3
20/06/2016,28,25,2
27/06/2016,19,26,54
04/07/2016,26,27,54
11/07/2016,27,28,54
18/07/2016,21,29,54
25/07/2016,20,30,54
01/08/2016,34,31,57
08/08/2016,20,32,-93
15/08/2016,16,33,-186
22/08/2016,16,34,3
29/08/2016,16,35,3
05/09/2016,15,36,5
12/09/2016,40,37,5
19/09/2016,17,38,5
26/09/2016,19,39,2
03/10/2016,15,40,8
10/10/2016,15,41,8
17/10/2016,48,42,10
24/10/2016,38,43,10
31/10/2016,26,44,12
07/11/2016,26,45,13
14/11/2016,58,46,9
21/11/2016,27,47,12
28/11/2016,15,48,9
05/12/2016,25,49,11
12/12/2016,30,50,11
19/12/2016,34,51,11
26/12/2016,35,52,2
02/01/2017,19,1,11
09/01/2017,46,2,11
16/01/2017,21,3,11
23/01/2017,19,4,12
30/01/2017,32,5,25
06/02/2017,47,6,25
13/02/2017,41,7,27
20/02/2017,25,8,54
27/02/2017,38,9,54
06/03/2017,18,10,54
13/03/2017,12,11,37
20/03/2017,18,12,37
27/03/2017,7,13,65
03/04/2017,19,14,65
10/04/2017,15,15,67
17/04/2017,15,16,25
24/04/2017,20,17,25
01/05/2017,12,18,25
08/05/2017,8,19,27
15/05/2017,14,20,33
22/05/2017,14,21,33
29/05/2017,24,22,33
05/06/2017,10,23,33
12/06/2017,5,24,33
19/06/2017,8,25,33
26/06/2017,16,26,-14
03/07/2017,13,27,-14
10/07/2017,16,28,-14
17/07/2017,30,29,-14
24/07/2017,4,30,-14
31/07/2017,7,31,-9
07/08/2017,13,32,1
14/08/2017,21,33,3
21/08/2017,9,34,-7
28/08/2017,13,35,-6
04/09/2017,8,36,-21
11/09/2017,22,37,-21
18/09/2017,8,38,-21
25/09/2017,49,39,1
02/10/2017,15,40,3
09/10/2017,17,41,4
16/10/2017,31,42,2
23/10/2017,17,43,2
30/10/2017,13,44,3
06/11/2017,33,45,3
13/11/2017,13,46,0
20/11/2017,20,47,10
27/11/2017,21,48,3
04/12/2017,17,49,3
11/12/2017,9,50,3
18/12/2017,16,51,9
25/12/2017,21,52,8
