Date,Searches,WeekNumber,Cases
04/01/2016,10,1,24
11/01/2016,19,2,24
18/01/2016,27,3,24
25/01/2016,41,4,24
01/02/2016,51,5,46
08/02/2016,46,6,46
15/02/2016,48,7,48
22/02/2016,55,8,83
29/02/2016,57,9,83
07/03/2016,59,10,83
14/03/2016,55,11,120
21/03/2016,57,12,121
28/03/2016,39,13,158
04/04/2016,41,14,158
11/04/2016,45,15,160
18/04/2016,34,16,264
25/04/2016,46,17,264
02/05/2016,39,18,264
09/05/2016,49,19,264
16/05/2016,92,20,206
23/05/2016,52,21,206
30/05/2016,72,22,206
06/06/2016,35,23,206
13/06/2016,58,24,206
20/06/2016,63,25,206
27/06/2016,52,26,45
04/07/2016,69,27,45
11/07/2016,52,28,45
18/07/2016,57,29,45
25/07/2016,48,30,45
01/08/2016,50,31,49
08/08/2016,39,32,81
15/08/2016,47,33,163
22/08/2016,27,34,21
29/08/2016,21,35,21
05/09/2016,43,36,21
12/09/2016,58,37,21
19/09/2016,39,38,21
26/09/2016,31,39,1
03/10/2016,15,40,20
10/10/2016,20,41,21
17/10/2016,59,42,30
24/10/2016,47,43,30
31/10/2016,37,44,17
07/11/2016,21,45,17
14/11/2016,26,46,20
21/11/2016,38,47,15
28/11/2016,26,48,30
05/12/2016,29,49,10
12/12/2016,13,50,7
19/12/2016,26,51,3
26/12/2016,39,52,2
02/01/2017,14,1,0
09/01/2017,43,2,0
16/01/2017,20,3,0
23/01/2017,22,4,2
30/01/2017,57,5,29
06/02/2017,75,6,29
13/02/2017,70,7,31
20/02/2017,56,8,24
27/02/2017,54,9,24
06/03/2017,35,10,24
13/03/2017,26,11,63
20/03/2017,66,12,64
27/03/2017,44,13,25
03/04/2017,100,14,25
10/04/2017,100,15,27
17/04/2017,100,16,147
24/04/2017,100,17,147
01/05/2017,100,18,147
08/05/2017,62,19,147
15/05/2017,65,20,91
22/05/2017,53,21,91
29/05/2017,100,22,91
05/06/2017,63,23,91
12/06/2017,18,24,91
19/06/2017,42,25,94
26/06/2017,71,26,3
03/07/2017,47,27,3
10/07/2017,53,28,3
17/07/2017,78,29,3
24/07/2017,13,30,3
31/07/2017,10,31,4
07/08/2017,38,32,4
14/08/2017,34,33,10
21/08/2017,18,34,-27
28/08/2017,42,35,-26
04/09/2017,6,36,-2
11/09/2017,19,37,-2
18/09/2017,33,38,-2
25/09/2017,99,39,0
02/10/2017,23,40,-1
09/10/2017,33,41,0
16/10/2017,29,42,-11
23/10/2017,51,43,-11
30/10/2017,26,44,4
06/11/2017,21,45,5
13/11/2017,17,46,-1
20/11/2017,23,47,92
27/11/2017,19,48,-10
04/12/2017,12,49,1
11/12/2017,35,50,0
18/12/2017,27,51,-44
25/12/2017,41,52,1
