Date,Searches,Observed,Pure-LSTM-Prediction,Pure-LSTMError,Naive-Prediction,NaiveError
30/01/2016,0.75,1.0,0.35559698568154124,-0.6444030143184587,0.0,-1.0
06/02/2016,1.0,1.0,0.26035746744174043,-0.7396425325582596,1.0,0.0
13/02/2016,0.97,1.0,0.3308734185539186,-0.6691265814460814,1.0,0.0
20/02/2016,0.29,2.0,0.32677366447662937,-1.6732263355233705,1.0,-1.0
27/02/2016,0.48,2.0,0.5353985303739272,-1.4646014696260727,2.0,0.0
05/03/2016,0.46,0.0,0.4872474962358363,0.4872474962358363,2.0,2.0
12/03/2016,0.82,2.0,0.7540784059340321,-1.245921594065968,0.0,-2.0
19/03/2016,0.27,0.0,1.346872966894582,1.346872966894582,2.0,2.0
26/03/2016,0.38,0.0,0.8766513455855474,0.8766513455855474,0.0,0.0
02/04/2016,0.18,2.0,0.3667384186577424,-1.6332615813422575,0.0,-2.0
09/04/2016,0.33,2.0,0.46195202345075087,-1.5380479765492492,2.0,0.0
16/04/2016,0.23,1.0,0.5388881420633755,-0.46111185793662446,2.0,1.0
23/04/2016,0.07,1.0,0.9051904908837937,-0.09480950911620634,1.0,0.0
30/04/2016,0.31,1.0,1.4013868298905343,0.4013868298905343,1.0,0.0
07/05/2016,0.3,6.999999999999999,1.0997458194882237,-5.900254180511776,1.0,-5.999999999999999
14/05/2016,0.25,2.0,1.3516551248570532,-0.6483448751429468,6.999999999999999,4.999999999999999
21/05/2016,0.72,1.0,2.048850767433755,1.048850767433755,2.0,1.0
28/05/2016,0.6,12.0,2.5807858134537933,-9.419214186546206,1.0,-11.0
04/06/2016,0.42,0.0,4.027126139131039,4.027126139131039,12.0,12.0
11/06/2016,0.72,5.0,3.054896788105145,-1.945103211894855,0.0,-5.0
18/06/2016,0.69,60.0,3.6658028575627504,-56.33419714243725,5.0,-55.0
25/06/2016,0.9,36.0,10.64356626464069,-25.35643373535931,60.0,24.0
02/07/2016,1.0,33.0,16.96180622479856,-16.03819377520144,36.0,3.0
09/07/2016,1.0,55.0,26.189226149998902,-28.810773850001098,33.0,-22.0
16/07/2016,0.85,70.99999999999999,31.419758147920966,-39.58024185207902,55.0,-15.999999999999986
23/07/2016,1.0,51.0,29.47799878792286,-21.52200121207714,70.99999999999999,19.999999999999986
30/07/2016,0.97,73.0,30.467650135872365,-42.53234986412764,51.0,-22.0
06/08/2016,0.89,33.0,32.216971205377575,-0.7830287946224246,73.0,40.0
13/08/2016,0.76,104.99999999999999,32.65787742969334,-72.34212257030664,33.0,-71.99999999999999
20/08/2016,0.31,54.0,32.04027512814879,-21.959724871851208,104.99999999999999,50.999999999999986
27/08/2016,0.52,35.0,32.47352610895753,-2.526473891042471,54.0,19.0
03/09/2016,0.62,19.0,31.389200353344084,12.389200353344084,35.0,16.0
10/09/2016,0.29,5.0,33.645810296569465,28.645810296569465,19.0,14.0
17/09/2016,0.35,22.999999999999996,28.471463784623744,5.471463784623747,5.0,-17.999999999999996
24/09/2016,0.39,10.0,20.631569907457827,10.631569907457827,22.999999999999996,12.999999999999996
01/10/2016,0.17,44.0,13.615785633126796,-30.384214366873202,10.0,-34.0
08/10/2016,0.2,15.0,14.512850654275418,-0.4871493457245819,44.0,29.0
15/10/2016,0.13,1.0,20.432226102945805,19.432226102945805,15.0,14.0
22/10/2016,0.31,2.0,18.922430968933106,16.922430968933106,1.0,-1.0
29/10/2016,0.36,1.0,19.410254253730177,18.410254253730177,2.0,1.0
05/11/2016,0.68,9.0,5.608525177696645,-3.391474822303355,1.0,-8.0
12/11/2016,0.5,5.0,1.8663816678490863,-3.1336183321509137,9.0,4.0
19/11/2016,0.47,2.0,2.9528414410515875,0.9528414410515875,5.0,3.0
26/11/2016,0.58,5.0,3.7352660317099096,-1.2647339682900904,2.0,-3.0
03/12/2016,0.28,3.0,4.832609386753291,1.8326093867532913,5.0,2.0
10/12/2016,0.49,2.0,3.0581147281543166,1.0581147281543166,3.0,1.0
17/12/2016,0.58,3.0,2.43513769804433,-0.56486230195567,2.0,-1.0
24/12/2016,0.23,0.0,2.790681639311612,2.790681639311612,3.0,3.0
31/12/2016,0.23,3.0,1.9504635140193627,-1.0495364859806373,0.0,-3.0
07/01/2017,0.27,0.0,1.4033223587036505,1.4033223587036505,3.0,3.0
14/01/2017,0.13,1.0,1.2486044381989538,0.24860443819895384,0.0,-1.0
21/01/2017,0.15,1.0,0.9015583963694423,-0.09844160363055765,1.0,0.0
28/01/2017,0.92,1.0,1.1941511221770942,0.19415112217709418,1.0,0.0
04/02/2017,0.28,1.0,0.6728020564578846,-0.3271979435421154,1.0,0.0
11/02/2017,0.0,0.0,1.0313038490334525,1.0313038490334525,1.0,1.0
18/02/2017,0.0,1.0,0.7162523419888877,-0.28374765801111235,0.0,-1.0
25/02/2017,0.2,1.0,0.2501901168172201,-0.74980988318278,1.0,0.0
04/03/2017,0.46,0.0,0.6544570472390019,0.6544570472390019,1.0,1.0
11/03/2017,0.0,0.0,0.7587580947240442,0.7587580947240442,0.0,0.0
18/03/2017,0.22,1.0,0.8092276830983162,-0.19077231690168384,0.0,-1.0
25/03/2017,0.38,1.0,0.46329129619291054,-0.5367087038070895,1.0,0.0
01/04/2017,0.14,2.0,0.29074933369424194,-1.709250666305758,1.0,-1.0
08/04/2017,0.25,0.0,0.8208374995686673,0.8208374995686673,2.0,2.0
15/04/2017,0.46,0.0,0.9426938789441809,0.9426938789441809,0.0,0.0
22/04/2017,0.0,0.0,0.8411248162292876,0.8411248162292876,0.0,0.0
