,Predicted,Observed,error
0,1.8036256625411364,0.9999999999999999,0.8036256625411365
1,5.430091053253836,0.0,5.430091053253836
2,1.8129374336606647,0.0,1.8129374336606647
3,10.01998012933317,1.9999999999999998,8.01998012933317
4,1.1187148085508796,0.9999999999999999,0.11871480855087968
5,8.256488248931216,0.9999999999999999,7.256488248931216
6,-2.9282245902901067,0.0,-2.9282245902901067
7,11.76444590787224,1.9999999999999998,9.76444590787224
8,4.7201927219582664,0.0,4.7201927219582664
9,24.689197185392153,0.9999999999999999,23.689197185392153
10,4.388365378025485,0.0,4.388365378025485
11,25.073555621255032,1.9999999999999998,23.073555621255032
12,11.895213314138806,0.0,11.895213314138806
13,26.799397909073033,1.9999999999999998,24.799397909073033
14,1.5742278642678607,0.0,1.5742278642678607
15,-3.168555020298774,0.0,-3.168555020298774
16,-5.541582411038549,0.0,-5.541582411038549
17,7.298960395023317,0.0,7.298960395023317
18,-5.52295882350415,0.0,-5.52295882350415
19,3.0464791677510563,0.0,3.0464791677510563
20,11.24754969693361,0.0,11.24754969693361
21,-5.495023445962126,0.0,-5.495023445962126
22,-1.2086346519646818,0.0,-1.2086346519646818
23,4.865841748495753,0.0,4.865841748495753
24,6.304185495711336,0.0,6.304185495711336
25,-2.597079794157586,0.0,-2.597079794157586
26,8.817770685547954,0.0,8.817770685547954
27,-0.7903685800996413,0.9999999999999999,-1.7903685800996412
28,8.836394287415446,0.0,8.836394287415446
29,-5.41121726066834,0.0,-5.41121726066834
30,-0.05555920655662985,0.0,-0.05555920655662985
31,1.5525473952943956,3.0,-1.4474526047056044
32,-3.6045060544086094,0.0,-3.6045060544086094
33,-2.8790084807499294,0.0,-2.8790084807499294
34,-5.36465826809948,0.0,-5.36465826809948
35,-3.5639192528973993,0.0,-3.5639192528973993
36,-5.458657070584959,0.0,-5.458657070584959
37,-3.55460745455503,0.0,-3.55460745455503
38,-2.832449488807162,0.0,-2.832449488807162
39,-4.24883002510153,0.0,-4.24883002510153
40,0.5670843298485712,0.0,0.5670843298485712
41,-4.58662951198328,0.0,-4.58662951198328
42,-4.577317713587841,0.0,-4.577317713587841
43,-5.280852082514716,0.0,-5.280852082514716
44,-0.4358379006605271,0.0,-0.4358379006605271
45,3.4557161928398274,0.0,3.4557161928398274
46,-3.480113067354232,0.0,-3.480113067354232
47,-3.827224352619949,0.0,-3.827224352619949
48,-4.530758721588416,0.0,-4.530758721588416
49,0.6508905154200797,0.0,0.6508905154200797
50,-5.215669493724417,0.0,-5.215669493724417
51,-5.206357695340456,0.0,-5.206357695340456
