,Observed Cases,Predicted Cases,error
0,506.99999999999994,466.10582991373207,-40.89417008626788
1,301.0,494.1088274005791,193.10882740057912
2,268.0,256.0435435492611,-11.956456450738926
3,319.0,250.93582407958448,-68.06417592041552
4,198.0,315.32669987337067,117.32669987337067
5,216.0,171.78169034285284,-44.21830965714716
6,144.0,210.19537410147925,66.19537410147925
7,110.0,128.1405781998733,18.14057819987329
8,80.0,100.04487509782346,20.044875097823464
9,188.0,72.10776003704433,-115.89223996295567
10,25.0,196.62980226515933,171.62980226515933
11,106.0,4.777540504955958,-101.22245949504403
12,108.0,106.49890728746026,-1.5010927125397444
13,72.0,106.5187031161773,34.518703116177306
14,34.0,65.2645153890175,31.264515389017504
15,72.0,27.397708487861426,-44.60229151213858
16,91.0,72.73623785394733,-18.26376214605267
17,46.0,90.81534611119275,44.81534611119275
18,41.0,39.602329051428036,-1.3976709485719638
19,37.0,37.87066789232988,0.8706678923298767
20,-29.0,35.08803591689945,64.08803591689946
21,96.0,-35.69445987675985,-131.69445987675985
22,30.0,104.43074005715978,74.43074005715978
23,85.0,26.14009190824471,-58.85990809175529
24,26.0,84.77481647663721,58.77481647663721
25,20.0,21.849025468954068,1.8490254689540677
26,12.0,16.30994268303779,4.309942683037789
27,15.0,10.580852163313573,-4.419147836686427
28,34.0,14.418952868733129,-19.58104713126687
29,44.0,34.70557378528077,-9.29442621471923
30,57.0,44.185978138723556,-12.814021861276444
31,52.0,56.65292597351513,4.652925973515131
32,45.0,50.26797758040736,5.267977580407361
33,35.0,42.574310466819206,7.574310466819206
34,91.0,32.55561980879729,-58.44438019120271
35,17.0,92.72159591830972,75.72159591830972
36,29.0,12.13078281260102,-16.86921718739898
37,26.0,25.831521211953824,-0.16847878804617622
38,29.0,25.37127488767297,-3.6287251123270288
39,0.0,28.14935859100958,28.14935859100958
40,55.0,-2.462366536039679,-57.46236653603968
41,-13.0,56.69213037453401,69.692130374534
42,28.0,-15.755334805353144,-43.755334805353144
43,22.0,27.08619698031816,5.08619698031816
44,20.0,22.792011894517863,2.792011894517863
45,25.0,18.86755176502362,-6.13244823497638
46,11.0,24.474152490923895,13.474152490923895
47,31.0,9.729768181114673,-21.27023181888533
48,16.0,30.91053097430552,14.91053097430552
49,18.0,15.240007520049353,-2.759992479950647
50,9.0,16.816322364186355,7.816322364186355
51,8.0,8.066293681195257,0.06629368119525658
52,17.0,7.2020980389057,-9.7979019610943
53,18.0,17.12741712949643,-0.872582870503571
54,15.0,17.943010234799058,2.9430102347990577
55,0.0,14.312676348174843,14.312676348174843
56,27.0,-1.3828857550128872,-28.382885755012886
57,20.0,27.57393836340645,7.573938363406452
58,18.0,20.139504305593327,2.139504305593327
59,9.0,16.898667584989607,7.898667584989607
60,-19.0,7.870806039235214,26.870806039235212
61,-6.0,-21.13860144090679,-15.13860144090679
62,17.0,-6.159220097968729,-23.159220097968728
63,12.0,18.991055076448184,6.991055076448184
64,14.0,12.353992857003533,-1.646007142996467
65,9.0,13.464306500433555,4.464306500433555
66,6.0,8.401426891143892,2.401426891143892
67,12.0,5.310877649856875,-6.689122350143125
68,5.0,11.959470846914781,6.9594708469147815
69,3.0,4.566836033999396,1.5668360339993956
70,6.0,2.388429288194939,-3.611570711805061
71,11.0,5.955760796798717,-5.044239203201283
72,69.0,11.213751917382773,-57.78624808261723
73,-12.0,71.85726416247499,83.85726416247499
74,24.0,-15.049599580225873,-39.04959958022587
75,8.0,21.6994171098068,13.699417109806799
76,-49.0,8.474790293972081,57.47479029397208
77,3.0,-52.6236378067655,-55.6236378067655
